No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren
196,09/01/2025,2025,PT TEKTONINDO BEJANA BAJA,kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
197,17/04/2025,2025,PT DOS NI ROHA,Distribusi dan Logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
198,14/07/2025,2025,PT. ZARINDAH PERDANA,Developer apartemen,Makassar,Properti & real estate,Bukan Tbk,,Disclosed,Rp145.000.000,Rp0,Rp0
199,30/07/2025,2025,PT Bara Prima Mandiri,Pertambangan Batu Bara,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,
200,08/09/2025,2025,PT Waskita Karya (Persero) Tbk,Konstruksi Infrastruktur,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,
201,17/11/2025,2025,PT. SUMATERA PULAU MAS INDONESIA,Industri Pengolahan Kelapa Sawit,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,
202,18/06/2025,2025,PT CIPTAMAS BUMISELARAS,perkebunan kelapa sawit dan pabrik kelapa sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
203,10/03/2025,2025,PT KAHARUTAMA,kontraktor konstruksi dan jasa pengelolaan properti/gedung,Medan,Infrastruktur,Bukan Tbk,,Undisclosed,,,
204,20/02/2025,2025,PT Indo Genesis Medika,distributor dan perdagangan alat-alat kesehata,Jakarta Pusat,Kesehatan,Bukan Tbk,###########,Undisclosed,,,
205,03/12/2025,2025,PT Agro Maju Jaya Bersama,Keagenan Awak Kapal,Medan,Transportasi,Bukan Tbk,,Undisclosed,,,
206,07/10/2025,2025,PT WANXIANG NICKEL INDONESIA,industri smelter nikel,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
207,21/07/2025,2025,PT Propernas Griya Utama,perumahan kelas menengah,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
208,13/08/2025,2025,PT PANON MAHIA NUSA,konsultan marketing,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
209,06/05/2025,2025,PT Wijaya Karya Industri & Konstruksi,industri manufaktur baja,Medan,Transportasi,Bukan Tbk,,Undisclosed,,,
210,11/03/2025,2025,PT USAHA SEPAKAT MAJU BERSAMA,jasa transportasi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp23.831.487.666,,Rp13.646.096.631
211,28/05/2025,2025,PT Karya Ardi Prestasi,pemasok batu pecah (batu split) dan material konstruks,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
212,23/12/2025,2025,PT. SAKA MITRA SEJATI,jasa sewa kendaraan korporasi (Tugu Rent) dan pengelolaan properti/sewa ruang kantor (Wisma Tugu).,Medan,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
213,17/04/2025,2025,PT Rajawali Nusindo,"perdagangan dan distribusi produk konsumsi (FMCG), alat kesehatan, produk farmasi,",Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
214,25/09/2025,2025,PT WIJAYA KARYA BANGUNAN GEDUNG TBK,konstruksi bangunan,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,
215,17/02/2025,2025,PT PP Properti Tbk,pengembangan properti,Jakarta Pusat,Properti & real estate,Tbk,,Undisclosed,,,
